#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         WIND/SWE Faraday Cup (Proton - Alpha Anisotropy Analysis)
#     SOURCE_NAME                     Wind
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       VS>Validated Summary Data
#     DESCRIPTOR                      SWE>Solar Wind Experiment
#     FILE_NAMING_CONVENTION          source_datatype_descriptor
#     DATA_VERSION                    01
#     PI_NAME                         Bennett Maruca
#     PI_AFFILIATION                  University of Delaware
#     TEXT                            Notes:    - Data reported within this file do not exceed the limits of     various                    
#                                      paremeters listed in the following section.  There     may be more valid data                         
#                                      in the original dataset that requires     additional work to interpret but                            
#                                      was discarded due to the     limits.  In particular we have tried to exclude                          
#                                      non-solar     wind data and questionable alpha data from these files.   - We                          
#                                      provide the one sigma uncertainty for each parameter     produced by the non-linear                   
#                                      curve fitting analysis either     directly from the fitting or by propagating                         
#                                      uncertainties     for bulk speeds, flow angles or any other derived parameter.                        
#                                        - For the non-linear anisotropic proton analysis, a scalar     thermal speed                        
#                                      is produced by determining parallel and     perpendicular tmperatures, taking                         
#                                      the trace,      Tscalar = (2Tperp + Tpara)/3 and converting the result                                
#                                      back to a thermal speed.  The uncertainties are also     propagated through                           
#                                        ; Limits: ; Minimum mach number:        1.5000000 ; Maximum chisq/dof:                              
#                                                100000.00 ; Minimum distance  ;   to bow shock:                                             
#                                          5.0000000 [Re] ; Maximum uncertainty in any ;             parameter from                          
#                                      non-linear ;             analysis:                               70.0000[%]                           
#     INSTRUMENT_TYPE                 Ephemeris/Attitude/Ancillary
#                                     Plasma and Solar Wind
#                                     Magnetic Fields (space)
#     MISSION_GROUP                   Wind
#     LOGICAL_SOURCE                  wi_h1_swe_RTN
#     LOGICAL_FILE_ID                 wi_h1_swe_RTN
#     LOGICAL_SOURCE_DESCRIPTION      Solar wind proton and alpha parameters, including anisotropic temperatures,                           
#                                      derived by non-linear fitting of the measurements and with moment techniques.                         
#                                      Data in RTN                                                                                           
#     TIME_RESOLUTION                 92 seconds
#     GENERATED_BY                    Adam Szabo (adam.szabo-1@nasa.gov)
#                                     Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 16-July-2024 16:04:05.14-04:00
#     MODS                            data analysis package revised March, 2012.
#                                     RTN Initial Release: July 16 2024
#     INPUT_FILE                      /home/anarock/workdir/rtn/sweh1/swe_pull/wi_h1_swe_20240324_v01.cdf
#     CDAWEB_PARENTS                  wi_h1_swe_rtn_00000000_v01
#                                     wi_h1_swe_rtn_20240324_v01, wi_h1_swe_rtn_20240325_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF Epoch time at the beginning of each SWE spectrum (milliseconds)
#       NOTES:  The Epoch value is the number of milliseconds since 01-Jan-0000 00:00:00.000
#  2. Proton velocity component Vr (RTN, km/s) from moment analysis
#       NOTES:  Statistical moments of the ion velocity distribution function (VDF) are estimated analytically from the  ion current distribution function (CDF).
#  3. Proton velocity component Vt (RTN, km/s) from moment analysis
#       NOTES:  Statistical moments of the ion velocity distribution function (VDF) are estimated analytically from the  ion current distribution function (CDF).
#  4. Proton velocity component Vn (RTN, km/s) from moment analysis
#       NOTES:  Statistical moments of the ion velocity distribution function (VDF) are estimated analytically from the  ion current distribution function (CDF).
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,P+_VR_MOMENT_km/s,P+_VT_MOMENT_km/s,P+_VN_MOMENT_km/s
2024-03-24T15:00:42.475Z,771.779,7.20069,-72.4338
2024-03-24T15:02:19.833Z,771.978,11.6429,-132.619
2024-03-24T15:03:57.190Z,759.055,4.32821,-133.167
2024-03-24T15:05:34.548Z,765.791,-15.4484,-130.063
2024-03-24T15:07:11.905Z,767.653,-17.9523,-132.608
2024-03-24T15:08:49.263Z,764.361,-5.86516,-122.891
2024-03-24T15:10:26.620Z,783.977,-1.90961,-78.1510
2024-03-24T15:12:07.118Z,772.042,-11.1868,-106.922
2024-03-24T15:13:44.475Z,762.106,-7.51564,-124.916
2024-03-24T15:15:21.833Z,760.845,-2.79030,-121.712
2024-03-24T15:16:59.190Z,780.953,22.5589,-75.5575
2024-03-24T15:18:36.547Z,774.292,22.8030,-79.2950
2024-03-24T15:20:13.905Z,764.703,27.3275,-91.4249
2024-03-24T15:21:51.262Z,775.230,14.5102,-119.165
2024-03-24T15:23:28.619Z,779.977,9.79893,-128.390
2024-03-24T15:25:05.977Z,780.961,30.3225,-111.512
2024-03-24T15:26:43.334Z,771.336,17.4755,-122.927
2024-03-24T15:28:23.832Z,768.012,31.5911,-101.496
2024-03-24T15:30:01.189Z,789.473,4.78578,-99.1339
2024-03-24T15:31:38.546Z,801.142,-5.12481,-112.035
2024-03-24T15:33:15.904Z,798.299,4.30460,-109.653
2024-03-24T15:34:53.261Z,803.122,5.11485,-98.5509
2024-03-24T15:36:30.618Z,792.938,7.78236,-88.7599
2024-03-24T15:38:07.975Z,788.561,-0.724535,-91.8958
2024-03-24T15:39:45.333Z,787.736,-0.123575,-102.588
2024-03-24T15:41:22.690Z,786.052,14.8983,-101.864
2024-03-24T15:43:00.047Z,782.828,15.3913,-87.8048
2024-03-24T15:44:40.545Z,784.452,10.7704,-89.6952
2024-03-24T15:46:17.902Z,787.982,23.9951,-90.3266
2024-03-24T15:47:55.259Z,788.969,30.3194,-77.0249
2024-03-24T15:49:32.616Z,781.801,57.1551,-92.7874
2024-03-24T15:51:09.974Z,782.729,33.8460,-91.1174
2024-03-24T15:54:24.688Z,783.657,22.9374,-98.1351
2024-03-24T15:56:02.045Z,790.683,14.9500,-98.6925
2024-03-24T15:57:39.402Z,786.270,34.6452,-79.7321
2024-03-24T15:59:16.760Z,753.466,32.3134,-126.662
2024-03-24T16:00:57.257Z,763.273,38.2703,-114.060
2024-03-24T16:02:34.614Z,761.542,18.0453,-105.459
2024-03-24T16:04:11.971Z,786.704,-8.26623,-68.3793
2024-03-24T16:05:49.329Z,803.721,6.53313,-48.1159
2024-03-24T16:07:26.686Z,811.355,25.9452,-49.7345
2024-03-24T16:09:04.043Z,799.017,21.6456,-55.2907
2024-03-24T16:10:41.400Z,782.740,2.66348,-56.6459
2024-03-24T16:12:18.757Z,790.667,27.7088,-65.5143
2024-03-24T16:13:56.114Z,787.080,44.2016,-63.5722
2024-03-24T16:15:33.471Z,781.365,46.5584,-69.9474
2024-03-24T16:17:13.969Z,806.660,69.3994,-81.7168
2024-03-24T16:18:51.326Z,822.728,67.5537,-44.9858
2024-03-24T16:20:28.683Z,812.771,65.4118,-36.6062
2024-03-24T16:22:06.040Z,814.340,102.594,-56.5403
2024-03-24T16:23:43.398Z,813.246,105.420,-75.0585
2024-03-24T16:25:20.755Z,815.179,105.363,-72.7875
2024-03-24T16:26:58.112Z,820.496,54.7525,-19.9871
2024-03-24T16:28:32.328Z,818.121,39.4991,-23.2714
2024-03-24T16:30:09.686Z,779.301,23.1913,-56.9991
2024-03-24T16:31:47.043Z,776.855,19.2085,-60.0022
2024-03-24T16:36:42.255Z,772.982,13.7804,-52.4279
2024-03-24T16:38:19.612Z,775.207,17.0640,-52.6849
2024-03-24T16:46:26.398Z,775.023,14.3394,-60.1955
2024-03-24T16:48:03.755Z,736.945,22.7287,-82.2215
2024-03-24T16:49:44.253Z,783.645,11.2131,-72.5981
2024-03-24T16:51:21.611Z,791.770,23.6448,-57.2115
2024-03-24T16:52:58.968Z,786.127,40.3451,-53.5436
2024-03-24T16:54:36.325Z,776.328,52.1449,-47.9908
2024-03-24T17:01:05.755Z,723.091,17.2266,-73.9104
2024-03-24T17:02:39.972Z,714.997,18.0348,-72.1654
2024-03-24T17:04:17.330Z,708.271,5.06929,-80.4598
2024-03-24T17:05:57.828Z,741.877,29.6897,-61.2113
2024-03-24T17:07:35.185Z,736.941,23.9822,-55.0661
2024-03-24T17:09:12.543Z,753.339,16.5672,-65.3689
2024-03-24T17:14:07.756Z,759.105,36.9381,-50.0307
2024-03-24T17:15:45.113Z,764.531,37.3771,-45.2555
2024-03-24T17:17:22.471Z,754.975,16.8995,-64.5626
2024-03-24T17:18:56.688Z,753.969,2.26103,-64.1350
2024-03-24T17:23:51.902Z,778.967,9.73528,-57.0944
2024-03-24T17:25:29.259Z,815.404,28.6255,-14.9885
2024-03-24T17:27:06.617Z,794.999,13.9329,-26.2573
2024-03-24T17:28:43.975Z,797.749,14.9988,-26.7059
2024-03-24T17:30:21.332Z,799.642,9.30545,-18.3194
2024-03-24T17:33:36.048Z,792.176,20.6545,-26.8093
2024-03-24T17:40:11.760Z,814.297,15.5386,5.87450
2024-03-24T17:41:49.117Z,816.758,24.4176,6.92681
2024-03-24T17:43:26.475Z,796.856,19.7909,-27.6282
2024-03-24T17:45:00.692Z,808.419,23.4850,-8.61807
2024-03-24T17:46:38.050Z,805.805,1.85982,-1.39668
2024-03-24T17:48:15.408Z,816.111,29.8714,7.91394
2024-03-24T17:49:52.766Z,811.996,22.2146,10.7296
2024-03-24T17:51:30.123Z,811.716,34.9431,11.7338
2024-03-24T17:53:07.481Z,812.845,25.4208,24.8362
2024-03-24T17:54:47.980Z,819.156,30.2391,9.46666
2024-03-24T17:56:25.338Z,821.470,29.9954,14.4644
2024-03-24T17:58:02.695Z,807.946,23.4957,11.6427
2024-03-24T17:59:40.053Z,809.703,30.4461,12.9420
2024-03-24T18:01:17.411Z,818.298,28.9132,16.5610
2024-03-24T18:02:57.909Z,822.948,16.5944,19.9634
2024-03-24T18:04:35.267Z,818.947,12.5329,4.81233
2024-03-24T18:06:12.625Z,825.427,15.3539,-4.85612
2024-03-24T18:07:49.983Z,821.922,3.22764,8.53628
2024-03-24T18:09:27.341Z,818.028,-10.8625,-15.3353
2024-03-24T18:11:04.699Z,829.009,12.4207,-2.45207
2024-03-24T18:14:19.414Z,828.881,30.0531,-8.79253
2024-03-24T18:15:56.772Z,816.869,39.8120,-18.6609
2024-03-24T18:17:34.130Z,809.755,40.7152,-34.3340
2024-03-24T18:19:11.488Z,834.938,-16.3079,-29.2836
2024-03-24T18:20:48.846Z,858.306,-82.2449,-17.0976
2024-03-24T18:22:26.204Z,862.082,-73.9753,1.57484
2024-03-24T18:24:03.562Z,867.702,-67.9220,17.0472
2024-03-24T18:25:40.920Z,851.404,-113.351,-8.69962
2024-03-24T18:27:21.418Z,833.615,-105.063,-8.35253
2024-03-24T18:29:01.917Z,838.409,-116.523,-37.5429
2024-03-24T18:30:39.275Z,847.882,-101.677,-27.1811
2024-03-24T18:32:16.633Z,830.700,-106.403,-26.3284
2024-03-24T18:33:53.990Z,828.966,-108.506,-22.5598
2024-03-24T18:35:31.348Z,800.886,-107.919,-55.3651
2024-03-24T18:37:08.706Z,776.866,-90.3497,-75.1860
2024-03-24T18:38:46.064Z,789.719,-40.8936,-57.8910
2024-03-24T18:40:23.422Z,790.434,-47.1011,-63.4697
2024-03-24T18:42:00.780Z,773.158,-55.6269,-78.7294
2024-03-24T18:43:41.279Z,763.203,-43.3616,-70.7612
2024-03-24T18:45:18.637Z,760.915,-55.0420,-78.6015
2024-03-24T18:46:55.995Z,747.071,-63.1728,-95.9792
2024-03-24T18:48:33.353Z,772.902,-68.8042,-72.0291
2024-03-24T18:50:10.710Z,774.057,-47.4733,-65.5136
2024-03-24T18:55:05.925Z,779.402,-65.5479,-96.9510
2024-03-24T18:56:43.283Z,782.956,-78.6463,-112.458
2024-03-24T19:00:01.140Z,771.100,-71.6011,-68.7276
2024-03-24T19:01:38.497Z,777.803,-84.9879,-61.8880
2024-03-24T19:03:15.856Z,777.838,-87.5438,-73.7458
2024-03-24T19:04:53.213Z,772.659,-69.7716,-49.0261
2024-03-24T19:06:30.571Z,778.095,-77.9440,-73.0075
2024-03-24T19:08:07.929Z,771.165,-58.3212,-74.2387
2024-03-24T19:09:45.287Z,778.342,-46.6402,-81.3393
2024-03-24T19:11:22.645Z,787.220,-81.5752,-55.0250
2024-03-24T19:13:00.003Z,791.997,-65.9972,-45.0911
2024-03-24T19:14:37.361Z,796.180,-99.9422,-44.0575
2024-03-24T19:16:17.860Z,783.311,-54.9132,-46.4356
2024-03-24T19:17:55.218Z,799.322,-63.7148,-34.0036
2024-03-24T19:19:32.576Z,806.732,-76.8202,-34.1450
2024-03-24T19:21:13.075Z,797.673,-70.5610,-54.3807
2024-03-24T19:22:50.433Z,833.683,-100.608,-7.11025
2024-03-24T19:24:27.791Z,831.710,-98.1798,-13.1971
2024-03-24T19:26:05.149Z,827.582,-78.8890,-13.5117
2024-03-24T19:27:42.507Z,832.178,-63.7843,-13.2622
2024-03-24T19:29:19.865Z,822.790,-61.5019,-1.37715
2024-03-24T19:30:57.223Z,846.692,-100.008,-25.6487
2024-03-24T19:32:37.721Z,832.261,-112.980,-12.7530
2024-03-24T19:34:15.079Z,842.462,-121.712,-33.3628
2024-03-24T19:35:52.437Z,843.538,-110.891,-22.7233
2024-03-24T19:37:29.795Z,837.990,-108.693,-29.0982
2024-03-24T19:39:04.013Z,850.373,-76.3393,-29.9935
2024-03-24T19:40:41.371Z,849.838,-73.8804,-17.1081
2024-03-24T19:42:18.729Z,836.885,-64.5842,-22.4223
2024-03-24T19:43:56.087Z,834.442,-66.4166,-11.1228
2024-03-24T19:45:33.445Z,833.420,-65.7707,-11.5554
2024-03-24T19:47:13.944Z,847.540,-82.2326,-20.5854
2024-03-24T19:48:54.442Z,842.234,-82.3647,-8.18371
2024-03-24T19:50:31.800Z,860.784,-78.1534,-17.4249
2024-03-24T19:52:09.158Z,842.265,-77.4086,-16.6378
2024-03-24T19:53:46.517Z,841.021,-80.1293,-16.1994
2024-03-24T19:55:23.875Z,821.674,-74.3345,-20.8093
2024-03-24T19:57:01.233Z,838.941,-92.8546,-18.0331
2024-03-24T19:58:38.591Z,840.134,-89.9664,-19.7033
2024-03-24T20:00:15.949Z,848.492,-92.4655,-5.64985
2024-03-24T20:01:53.307Z,843.086,-69.9299,-10.5973
2024-03-24T20:03:30.665Z,848.881,-91.1546,-7.54439
2024-03-24T20:05:08.023Z,840.295,-86.3898,-3.95561
2024-03-24T20:06:45.381Z,848.487,-55.6278,-4.15706
2024-03-24T20:08:22.739Z,851.013,-64.3109,-4.56854
2024-03-24T20:10:00.097Z,854.371,-57.5272,32.8299
2024-03-24T20:11:37.455Z,850.316,-72.4170,-6.13378
2024-03-24T20:13:17.954Z,852.906,-85.3785,10.5057
2024-03-24T20:14:55.312Z,856.596,-74.9530,9.21971
2024-03-24T20:16:32.670Z,859.482,-75.3799,10.4304
2024-03-24T20:18:10.028Z,837.238,-51.5808,52.6001
2024-03-24T20:19:47.386Z,842.265,-63.6310,41.3460
2024-03-24T20:21:27.885Z,853.826,-60.2474,52.2166
2024-03-24T20:23:05.243Z,854.961,-59.1175,59.8258
2024-03-24T20:29:34.675Z,854.629,-64.3389,67.9750
2024-03-24T20:31:12.033Z,855.641,-67.3266,76.5505
2024-03-24T20:32:49.391Z,857.814,-66.8004,82.7937
2024-03-24T20:34:26.749Z,865.210,-46.5525,83.0079
2024-03-24T20:36:04.107Z,854.670,-39.4185,82.3086
2024-03-24T20:39:25.105Z,855.796,-35.5545,76.5503
2024-03-24T20:41:02.463Z,854.519,-42.8231,76.4617
2024-03-24T20:47:31.895Z,858.006,-60.7739,65.5309
2024-03-24T20:49:09.253Z,861.161,-50.3540,47.5022
2024-03-24T20:50:46.611Z,869.496,-47.2817,46.8872
2024-03-24T20:52:23.969Z,862.505,-41.6040,62.5830
2024-03-24T20:54:04.468Z,866.029,-42.7379,54.4333
2024-03-24T20:55:41.826Z,862.948,-39.7599,51.1828
2024-03-24T20:57:19.184Z,862.720,-49.5532,66.8578
2024-03-24T20:58:56.542Z,865.917,-40.4948,57.7537
2024-03-24T21:00:33.900Z,870.422,-40.0678,60.0975
2024-03-24T21:02:11.259Z,849.917,-65.6477,93.1558
2024-03-24T21:03:48.617Z,853.369,-58.3128,121.956
2024-03-24T21:08:43.831Z,858.178,-52.0253,76.9155
2024-03-24T21:10:24.330Z,851.508,-33.7298,78.9535
2024-03-24T21:12:01.688Z,852.517,-36.8269,68.7803
2024-03-24T21:13:39.046Z,862.952,-42.5592,55.6550
2024-03-24T21:18:31.121Z,848.825,-39.1102,67.3249
2024-03-24T21:20:08.479Z,851.904,-36.4009,59.7673
2024-03-24T21:21:45.837Z,851.584,-40.2508,63.0530
2024-03-24T21:23:23.195Z,848.373,-38.4557,71.1211
2024-03-24T21:25:00.553Z,851.036,-55.0314,80.3265
2024-03-24T21:26:41.052Z,847.011,-44.8392,79.9713
2024-03-24T21:28:18.410Z,853.748,-42.7861,75.3264
2024-03-24T21:29:55.768Z,853.130,-46.9191,59.3857
2024-03-24T21:31:33.126Z,848.315,-40.3120,63.5546
2024-03-24T21:33:10.484Z,847.074,-45.4095,73.3025
2024-03-24T21:34:47.842Z,842.881,-39.1312,69.6561
2024-03-24T21:36:25.201Z,848.098,-44.4657,62.3920
2024-03-24T21:38:02.559Z,853.176,-44.3901,70.3896
2024-03-24T21:42:57.774Z,842.468,-49.3469,65.0572
2024-03-24T21:44:35.132Z,842.032,-50.2191,67.0408
2024-03-24T21:46:12.490Z,842.955,-49.8653,75.0681
2024-03-24T21:49:27.206Z,843.742,-42.7590,72.4741
2024-03-24T21:51:04.564Z,842.686,-48.9142,61.9058
2024-03-24T21:52:41.922Z,850.547,-49.9267,93.0286
2024-03-24T21:54:19.280Z,844.418,-44.6771,112.799
2024-03-24T21:55:56.639Z,826.720,-58.1320,70.0179
2024-03-24T21:57:37.137Z,824.130,-76.2376,61.3772
2024-03-24T21:59:17.636Z,831.869,-41.3255,66.2616
2024-03-24T22:00:54.994Z,835.863,-57.7212,63.4788
2024-03-24T22:07:24.426Z,820.989,-51.1889,54.5802
2024-03-24T22:09:01.785Z,812.729,-57.7464,36.0546
2024-03-24T22:10:39.143Z,812.204,-62.0063,28.5197
2024-03-24T22:12:16.501Z,812.929,-54.0648,35.3076
2024-03-24T22:13:53.859Z,811.762,-67.0136,52.5811
2024-03-24T22:15:34.358Z,801.031,-53.5795,54.1781
2024-03-24T22:17:11.716Z,804.929,-46.9253,46.5752
2024-03-24T22:20:26.432Z,799.939,-61.9401,31.3429
2024-03-24T22:23:41.148Z,809.703,-59.3565,36.6498
2024-03-24T22:25:18.506Z,812.937,-46.0751,45.5367
2024-03-24T22:26:55.865Z,816.582,-48.5051,66.6224
2024-03-24T22:28:33.223Z,825.448,-42.6075,78.1948
2024-03-24T22:30:10.581Z,819.005,-59.6202,80.6356
2024-03-24T22:31:51.080Z,817.954,-45.1457,82.4228
2024-03-24T22:33:28.438Z,821.915,-49.2258,75.9796
2024-03-24T22:35:05.796Z,827.439,-50.2706,66.7555
2024-03-24T22:36:43.154Z,821.422,-48.3312,60.6032
2024-03-24T22:38:20.512Z,815.633,-57.8354,54.9351
2024-03-24T22:39:57.870Z,827.752,-73.5654,41.7752
2024-03-24T22:43:12.586Z,748.402,-146.340,-26.0894
2024-03-24T22:44:49.945Z,788.055,-130.027,9.46151
2024-03-24T22:49:45.160Z,798.038,-121.484,3.28635
2024-03-24T22:51:22.518Z,813.289,-99.6122,22.9756
2024-03-24T22:52:59.876Z,777.612,-112.404,-3.30330
2024-03-24T22:54:37.234Z,776.323,-135.335,-9.19044
2024-03-24T22:56:14.592Z,773.958,-145.130,-2.45728
2024-03-24T22:57:51.950Z,776.176,-142.322,-5.31784
2024-03-24T22:59:29.308Z,773.395,-141.316,-5.64779
2024-03-24T23:01:06.667Z,781.119,-145.474,-5.50181
2024-03-24T23:02:44.025Z,774.172,-161.442,-10.1960
2024-03-24T23:04:24.523Z,771.183,-144.097,-9.23269
2024-03-24T23:06:01.881Z,767.332,-130.440,-15.5606
2024-03-24T23:07:39.240Z,757.237,-179.253,-22.3912
2024-03-24T23:09:16.598Z,770.414,-110.694,-19.4755
2024-03-24T23:12:31.314Z,772.971,-107.791,-13.1116
2024-03-24T23:14:08.672Z,769.101,-105.771,-8.75244
2024-03-24T23:15:46.030Z,780.850,-82.3032,26.1435
2024-03-24T23:17:23.388Z,756.035,-129.347,-17.0850
2024-03-24T23:19:00.747Z,747.320,-116.335,-11.9610
2024-03-24T23:20:41.245Z,797.351,-93.0803,18.5215
2024-03-24T23:22:18.603Z,796.801,-77.9312,10.2131
2024-03-24T23:23:55.962Z,802.156,-70.3638,23.2662
2024-03-24T23:25:33.320Z,804.944,-85.2819,25.7246
2024-03-24T23:27:10.678Z,805.956,-67.8038,27.6558
2024-03-24T23:28:48.036Z,817.065,-53.2344,25.9519
